ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
ITEM_BLOODRAGEPOTION1_EFFECT	Bevi per applicare 5 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION2_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_BLOODRAGEPOTION2_EFFECT	Bevi per applicare 5 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION3_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_BLOODRAGEPOTION3_EFFECT	Bevi per applicare 5 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION4_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_BLOODRAGEPOTION4_EFFECT	Bevi per applicare 5 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION5_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_BLOODRAGEPOTION5_EFFECT	Bevi per applicare 5 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_BLOODRAGEPOTION_EFFECT	Bevi per applicare 5 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_BRUSHFLAX_DESC	Lino resistente raccolto nel sottobosco.
ITEM_BRUSHFLAX_NAME	Lino Selvatico
ITEM_BURNSALVE1_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.
ITEM_BURNSALVE2_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.
ITEM_BURNSALVE3_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.
ITEM_BURNSALVE4_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.
ITEM_BURNSALVE5_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.
ITEM_BURNSALVE_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.
ITEM_BURROWBROTH_DESC	Un brodo rustico e confortante di Carne di Bestiola e uova fresche. Apprezzato dagli esploratori del sottosuolo perché sostiene sia la salute fisica sia la concentrazione.
ITEM_BURROWBROTH_EFFECT	Ripristina il Nutrimento. Conferisce 5% Salute massima e Concentrazione massima per 30 minuti.
ITEM_CARRIONPARROT_EFFECT	Sorveglia i nemici con Sanguinamento, poi piomba su di loro, applicando accumuli aggiuntivi di Sanguinamento al bersaglio e a un nemico vicino.
ITEM_CHICKENEGG_DESC	Un delizioso Uovo di Gallina crudo.
ITEM_COOKEDBEASTMEAT_DESC	Un piatto semplice e saziante, apprezzato da viandanti e raccoglitori. Cotto per preservarne il sapore naturale e ripristinare il Nutrimento nelle terre selvagge.
ITEM_COOKEDBEASTMEAT_EFFECT	Ripristina il Nutrimento e aumenta la Salute massima del 10% per 30 minuti. Può essere attivo un solo bonus da cibo alla volta.
ITEM_COOKEDCRITTER_DESC	Un pasto semplice arrostito sulla fiamma viva, che fornisce un modesto Nutrimento in viaggio.
ITEM_COOKEDCRITTER_EFFECT	Ripristina il Nutrimento e aumenta la Salute massima del 5% per 30 minuti. Può essere attivo un solo bonus da cibo alla volta.
ITEM_COPPERORE_DESC	Roccia grezza contenente rame, estratta dalle miniere di Mirkea.
ITEM_COPPERPICKAXE_DESC	Uno strumento da minatore con testa forgiata in rame, progettato per scavare facilmente nella pietra compatta.
ITEM_COPPERTHROWINGKNIFE1_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.
ITEM_COPPERTHROWINGKNIFE1_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x1/> Le cariche si ricaricano riposando.
ITEM_COPPERTHROWINGKNIFE2_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.
ITEM_COPPERTHROWINGKNIFE2_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x1/> Le cariche si ricaricano riposando.
ITEM_COPPERTHROWINGKNIFE3_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.
ITEM_COPPERTHROWINGKNIFE3_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x1/> Le cariche si ricaricano riposando.
ITEM_COPPERTHROWINGKNIFE4_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.
ITEM_COPPERTHROWINGKNIFE4_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x1/> Le cariche si ricaricano riposando.
ITEM_COPPERTHROWINGKNIFE5_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.
ITEM_COPPERTHROWINGKNIFE5_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x1/> Le cariche si ricaricano riposando.
ITEM_COPPERTHROWINGKNIFE_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.
ITEM_COPPERTHROWINGKNIFE_EFFECT	Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x1/> Le cariche si ricaricano riposando.
ITEM_COPPERWOODCUTTINGAXE_DESC	Un'ascia migliorata con filo di rame. Incide più a fondo la corteccia e accelera la raccolta del legno.
ITEM_CORRUPTEDTREANTBARK_DESC	Corteccia annerita strappata a un Treant, deformata dalla corruzione.<x1/> <x2/> Un ingrediente essenziale per creare incantesimi.
ITEM_CORRUPTEDTREANTHEAD_DESC	Contorta e annerita dalla magia oscura, la testa recisa di un Treant corrotto pulsa di energia innaturale. Liane spinose ne attraversano la corteccia crepata come vene d'odio, e il suo peso sembra eccessivo per del semplice legno.
ITEM_CORRUPTEDTREANTHEART_DESC	Il cuore nodoso di un Treant corrotto.<x1/> <x2/> Un ingrediente essenziale per creare incantesimi.
ITEM_CRITTERMEAT_DESC	Carne appena ricavata da piccola selvaggina.
ITEM_CRITTERMEAT_EFFECT	Ripristina il Nutrimento ma riduce la Rigenerazione del vigore per 5 minuti.
ITEM_DROOPCORE_DESC	Il cuore vivo di un Droop, che pulsa ancora debolmente di energia arcana.
ITEM_DROOPGELO_DESC	Una sostanza scivolosa e gelatinosa estratta dal Droop. Idratante per natura, offusca la mente se non viene raffinata.
ITEM_DRYADEYE_DESC	Un occhio cristallino di una Driade caduta. Si dice riveli frammenti della memoria della foresta.
ITEM_DRYADLOCK_DESC	Una ciocca di capelli argentei di Driade, ancora calda di una debole scintilla vitale.
ITEM_EARLWOODFEAST_DESC	Un banchetto ricco e saziante di sostanziosa Carne di Bestia e uova fresche, cotto lentamente sul calore intenso del Legno di Treant. Potenzia in modo equilibrato tutti gli attributi fisici e mentali.
ITEM_EARLWOODFEAST_EFFECT	Ripristina il Nutrimento. Conferisce 7% Salute, Vigore e Concentrazione massimi per 30 minuti.
ITEM_ELIXIROFREBIRTH_DESC	Un raro elisir di rinnovamento. Bevilo per annullare tutti gli Attributi assegnati e recuperarne il valore in XP.
ITEM_ELIXIROFREBIRTH_EFFECT	Azzera i tuoi Attributi e restituisce i punti esperienza.
ITEM_EMBERBLESSSOUP_DESC	Una zuppa sostanziosa e riscaldante, con l'essenza ardente di Emberbloom e tenera Carne di Bestia. Riempie lo stomaco e protegge dal calore intenso e dalle fiamme impetuose.
ITEM_EMBERBLESSSOUP_EFFECT	Ripristina il Nutrimento. Conferisce 10% Salute massima, 25% Resistenza al fuoco e Resistenza all'ustione per 30 minuti.
ITEM_EMBERBLOOMSEED_DESC	Un seme di Emberbloom.
ITEM_EMBERBLOOM_DESC	Una pianta rara che cresce nel cuore della foresta, rinomata per le sue proprietà potenzianti.
ITEM_EMBERHOUND_DESC	Una razza nata da antichi esperimenti magici. Oggi i Cani di Brace sono spesso considerati fastidi pericolosi.
ITEM_EMBERHOUND_EFFECT	Scatta attraverso i nemici lungo una breve linea, lasciando una fossa infuocata all'arrivo. Infligge Danno da fuoco e applica Ustione a tutti i nemici colpiti.
ITEM_EXPLOSIVEFLASK1_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.
ITEM_EXPLOSIVEFLASK1_EFFECT	Lancia per creare una pozza ardente.<x1/> Le cariche si ricaricano riposando.
ITEM_EXPLOSIVEFLASK2_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.
ITEM_EXPLOSIVEFLASK2_EFFECT	Lancia per creare una pozza ardente.<x1/> Le cariche si ricaricano riposando.
ITEM_EXPLOSIVEFLASK3_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.
ITEM_EXPLOSIVEFLASK3_EFFECT	Lancia per creare una pozza ardente.<x1/> Le cariche si ricaricano riposando.
ITEM_EXPLOSIVEFLASK4_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.
ITEM_EXPLOSIVEFLASK4_EFFECT	Lancia per creare una pozza ardente.<x1/> Le cariche si ricaricano riposando.
ITEM_EXPLOSIVEFLASK5_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.
ITEM_EXPLOSIVEFLASK5_EFFECT	Lancia per creare una pozza ardente.<x1/> Le cariche si ricaricano riposando.
ITEM_EXPLOSIVEFLASK_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.
ITEM_EXPLOSIVEFLASK_EFFECT	Lancia per creare una pozza ardente.<x1/> Le cariche si ricaricano riposando.
ITEM_FANGRACUB_EFFECT	Attraversa il nemico più vicino con un balzo selvaggio, infliggendo Danno da taglio e applicando Sanguinamento e Gelo.
ITEM_FLAMINGOIL1_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da fuoco.
ITEM_FLAMINGOIL2_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da fuoco.
ITEM_FLAMINGOIL3_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da fuoco.
ITEM_FLAMINGOIL4_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da fuoco.
ITEM_FLAMINGOIL5_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da fuoco.
ITEM_FLAMINGOIL_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da fuoco.
ITEM_FLAXGLOVES_DESC	Guanti leggeri tessuti con lino della foresta. Offrono una protezione modesta e presa durante la raccolta.
ITEM_FLAXROPE_DESC	Una semplice corda di lino.
ITEM_FLAXSEED_DESC	Semi per coltivare Lino.
ITEM_FORESTKINGFUR_DESC	Un folto ciuffo di pelliccia incantata che fluttua nell'aria come privo di peso.
ITEM_FORESTKINGTINE_DESC	Una punta spezzata di un enorme palco di corna, liscia al tatto e intrisa di potente magia.
ITEM_FRAYEDCLOTH_DESC	Una striscia strappata di tessuto logoro, con bordi sfilacciati e consunti.
ITEM_FRIEDCHICKENEGG_DESC	Un delizioso Uovo Fritto. Semplice e rapido da preparare, è ricco dell'energia essenziale per mantenere la concentrazione in viaggio.
ITEM_FRIEDCHICKENEGG_EFFECT	Ripristina il Nutrimento. Conferisce 5% Vigore massimo e Concentrazione massima per 30 minuti.
ITEM_FROSTBOUNDPOTION1_DESC	Una pozione a base di infuso di Thaumablossom che protegge dal Ghiaccio.
ITEM_FROSTBOUNDPOTION2_DESC	Una pozione a base di infuso di Thaumablossom che protegge dal Ghiaccio.
ITEM_FROSTBOUNDPOTION3_DESC	Una pozione a base di infuso di Thaumablossom che protegge dal Ghiaccio.
ITEM_FROSTBOUNDPOTION4_DESC	Una pozione a base di infuso di Thaumablossom che protegge dal Ghiaccio.
ITEM_FROSTBOUNDPOTION5_DESC	Una pozione a base di infuso di Thaumablossom che protegge dal Ghiaccio.
ITEM_FROSTBOUNDPOTION_DESC	Una pozione a base di infuso di Thaumablossom che protegge dal Ghiaccio.
ITEM_FROSTEDOIL1_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da ghiaccio.
ITEM_FROSTEDOIL2_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da ghiaccio.
ITEM_FROSTEDOIL3_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da ghiaccio.
ITEM_FROSTEDOIL4_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da ghiaccio.
ITEM_FROSTEDOIL5_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da ghiaccio.
ITEM_FROSTEDOIL_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da ghiaccio.
ITEM_FROSTOWL_DESC	Originarie delle vette gelate dei Monti di Dimraeth, le Civette Gelide vanno in letargo d'estate e vagano per Mirkea d'inverno.
ITEM_FROSTOWL_EFFECT	Sorveglia i nemici Assiderati, poi piomba su di loro per diffondere Gelo a tutti i nemici vicini.
ITEM_GLASSVIAL_DESC	Un recipiente trasparente di qualità alchemica, progettato per contenere pozioni, estratti o miscele instabili.
ITEM_GOBLINKINGHEAD_DESC	La testa di un Re Goblin, con gli occhi spalancati e iniettati di sangue, come se cercasse ancora il prossimo pasto.
ITEM_GOBLINTOOTH_DESC	Un piccolo dente ingiallito, scheggiato e storto, estratto dalla mascella di un goblin.
ITEM_HEARTOAKPLANKS_DESC	Tavole robuste ricavate dal legno di Quercia del Cuore. Essenziali per costruire.
ITEM_HEARTOAK_DESC	Legno pesante ricavato dalla venerata Quercia del Cuore di Aldoria.
ITEM_HORDEKINGTOOTH_DESC	Una zanna seghettata del Re del Tesoro, macchiata di scuro vicino alla radice.
ITEM_HOUND_EFFECT	Cerca il nemico più vicino e gli si avventa contro, infliggendo Danno da taglio e ulteriore Accumulo di stordimento.
ITEM_HUNTERSSTEW_DESC	Uno stufato caldo e nutriente, cotto lentamente con cura. Spesso condiviso ai focolari del villaggio dopo lunghe giornate di lavoro.
ITEM_HUNTERSSTEW_EFFECT	Ripristina il Nutrimento e aumenta Salute massima e Vigore massimo del 10% per 30 minuti. Può essere attivo un solo bonus da cibo alla volta.
ITEM_INNOCULATIONPOTION1_DESC	Una pozione a base di infuso di veleno che protegge dagli effetti velenosi e dal Decadimento.
ITEM_INNOCULATIONPOTION2_DESC	Una pozione a base di infuso di veleno che protegge dagli effetti velenosi e dal Decadimento.
ITEM_INNOCULATIONPOTION3_DESC	Una pozione a base di infuso di veleno che protegge dagli effetti velenosi e dal Decadimento.
ITEM_INNOCULATIONPOTION4_DESC	Una pozione a base di infuso di veleno che protegge dagli effetti velenosi e dal Decadimento.
ITEM_INNOCULATIONPOTION5_DESC	Una pozione a base di infuso di veleno che protegge dagli effetti velenosi e dal Decadimento.
ITEM_INNOCULATIONPOTION_DESC	Una pozione a base di infuso di veleno che protegge dagli effetti velenosi e dal Decadimento.
ITEM_KINDLINGPOTION1_DESC	Una pozione a base di infuso di Emberbloom che protegge dal Fuoco.
ITEM_KINDLINGPOTION2_DESC	Una pozione a base di infuso di Emberbloom che protegge dal Fuoco.
ITEM_KINDLINGPOTION3_DESC	Una pozione a base di infuso di Emberbloom che protegge dal Fuoco.
ITEM_KINDLINGPOTION4_DESC	Una pozione a base di infuso di Emberbloom che protegge dal Fuoco.
ITEM_KINDLINGPOTION5_DESC	Una pozione a base di infuso di Emberbloom che protegge dal Fuoco.
ITEM_KINDLINGPOTION_DESC	Una pozione a base di infuso di Emberbloom che protegge dal Fuoco.
ITEM_LARGEGOBLINTOOTH_DESC	Un dente di goblin enorme, pesante e spesso, con solchi profondi.
ITEM_LESSERCONCENTRATIONPOTION1_DESC	Una pozione di lucidità distillata da fiori rari ed essenza arcana.
ITEM_LESSERCONCENTRATIONPOTION2_DESC	Una pozione di lucidità distillata da fiori rari ed essenza arcana.
ITEM_LESSERCONCENTRATIONPOTION3_DESC	Una pozione di lucidità distillata da fiori rari ed essenza arcana.
ITEM_LESSERCONCENTRATIONPOTION4_DESC	Una pozione di lucidità distillata da fiori rari ed essenza arcana.
ITEM_LESSERCONCENTRATIONPOTION5_DESC	Una pozione di lucidità distillata da fiori rari ed essenza arcana.
ITEM_LESSERCONCENTRATIONPOTION_DESC	Una pozione di lucidità distillata da fiori rari ed essenza arcana.
ITEM_LESSERCONCENTRATIONTHROWFLASK1_DESC	Una Pozione Minore di Concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_LESSERCONCENTRATIONTHROWFLASK2_DESC	Una Pozione Minore di Concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_LESSERCONCENTRATIONTHROWFLASK3_DESC	Una Pozione Minore di Concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_LESSERCONCENTRATIONTHROWFLASK4_DESC	Una Pozione Minore di Concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_LESSERCONCENTRATIONTHROWFLASK5_DESC	Una Pozione Minore di Concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_LESSERCONCENTRATIONTHROWFLASK_DESC	Una Pozione Minore di Concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_LESSERHEALTHPOTION1_DESC	Una bevanda curativa preparata con acqua incantata ed erbe.
ITEM_LESSERHEALTHPOTION2_DESC	Una bevanda curativa preparata con acqua incantata ed erbe.
ITEM_LESSERHEALTHPOTION3_DESC	Una bevanda curativa preparata con acqua incantata ed erbe.
ITEM_LESSERHEALTHPOTION4_DESC	Una bevanda curativa preparata con acqua incantata ed erbe.
ITEM_LESSERHEALTHPOTION5_DESC	Una bevanda curativa preparata con acqua incantata ed erbe.
ITEM_LESSERHEALTHPOTION_DESC	Una bevanda curativa preparata con acqua incantata ed erbe.
ITEM_LESSERHEALTHTHROWFLASK1_DESC	Una Pozione Minore di Salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_LESSERHEALTHTHROWFLASK2_DESC	Una Pozione Minore di Salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_LESSERHEALTHTHROWFLASK3_DESC	Una Pozione Minore di Salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_LESSERHEALTHTHROWFLASK4_DESC	Una Pozione Minore di Salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_LESSERHEALTHTHROWFLASK5_DESC	Una Pozione Minore di Salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_LESSERHEALTHTHROWFLASK_DESC	Una Pozione Minore di Salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_LESSERSTAMINAPOTION1_DESC	Un tonico rivitalizzante al profumo di menta ed erbe selvatiche.
ITEM_LESSERSTAMINAPOTION2_DESC	Un tonico rivitalizzante al profumo di menta ed erbe selvatiche.
ITEM_LESSERSTAMINAPOTION3_DESC	Un tonico rivitalizzante al profumo di menta ed erbe selvatiche.
ITEM_LESSERSTAMINAPOTION4_DESC	Un tonico rivitalizzante al profumo di menta ed erbe selvatiche.
ITEM_LESSERSTAMINAPOTION5_DESC	Un tonico rivitalizzante al profumo di menta ed erbe selvatiche.
ITEM_LESSERSTAMINAPOTION_DESC	Un tonico rivitalizzante al profumo di menta ed erbe selvatiche.
ITEM_LESSERSTAMINATHROWFLASK1_DESC	Una Pozione Minore di Vigore con una corda legata attorno. Utile per ripristinare il Vigore altrui in combattimento.
ITEM_LESSERSTAMINATHROWFLASK2_DESC	Una Pozione Minore di Vigore con una corda legata attorno. Utile per ripristinare il Vigore altrui in combattimento.
ITEM_LESSERSTAMINATHROWFLASK3_DESC	Una Pozione Minore di Vigore con una corda legata attorno. Utile per ripristinare il Vigore altrui in combattimento.
ITEM_LESSERSTAMINATHROWFLASK4_DESC	Una Pozione Minore di Vigore con una corda legata attorno. Utile per ripristinare il Vigore altrui in combattimento.
ITEM_LESSERSTAMINATHROWFLASK5_DESC	Una Pozione Minore di Vigore con una corda legata attorno. Utile per ripristinare il Vigore altrui in combattimento.
ITEM_LESSERSTAMINATHROWFLASK_DESC	Una Pozione Minore di Vigore con una corda legata attorno. Utile per ripristinare il Vigore altrui in combattimento.
ITEM_LIGHTBANDAGES1_DESC	Bende avvolte strettamente e preparate con unguenti curativi. Usate per trattare le ferite sul campo.
ITEM_LIGHTBANDAGES2_DESC	Bende avvolte strettamente e preparate con unguenti curativi. Usate per trattare le ferite sul campo.
ITEM_LIGHTBANDAGES3_DESC	Bende avvolte strettamente e preparate con unguenti curativi. Usate per trattare le ferite sul campo.
ITEM_LIGHTBANDAGES4_DESC	Bende avvolte strettamente e preparate con unguenti curativi. Usate per trattare le ferite sul campo.
ITEM_LIGHTBANDAGES5_DESC	Bende avvolte strettamente e preparate con unguenti curativi. Usate per trattare le ferite sul campo.
ITEM_LIGHTBANDAGES_DESC	Bende avvolte strettamente e preparate con unguenti curativi. Usate per trattare le ferite sul campo.
ITEM_LINENGLOVES_DESC	Robusti guanti da lavoro cuciti in tela. Migliorano presa e comfort durante la raccolta prolungata.
ITEM_LINEN_DESC	Tessuto a trama fitta ottenuto da fibre vegetali trattate.
ITEM_MINORBLOODRAGEPOTION1_DESC	Una pozione ricavata dall'essenza di un Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_MINORBLOODRAGEPOTION1_EFFECT	Bevi per applicare 2 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_MINORBLOODRAGEPOTION2_DESC	Una pozione ricavata dall'essenza di un Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_MINORBLOODRAGEPOTION2_EFFECT	Bevi per applicare 2 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_MINORBLOODRAGEPOTION3_DESC	Una pozione ricavata dall'essenza di un Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_MINORBLOODRAGEPOTION3_EFFECT	Bevi per applicare 2 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_MINORBLOODRAGEPOTION4_DESC	Una pozione ricavata dall'essenza di un Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_MINORBLOODRAGEPOTION4_EFFECT	Bevi per applicare 2 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_MINORBLOODRAGEPOTION5_DESC	Una pozione ricavata dall'essenza di un Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_MINORBLOODRAGEPOTION5_EFFECT	Bevi per applicare 2 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_MINORBLOODRAGEPOTION_DESC	Una pozione ricavata dall'essenza di un Goblin. Conferisce temporaneamente Furia a chi la beve.
ITEM_MINORBLOODRAGEPOTION_EFFECT	Bevi per applicare 2 accumuli di Furia.<x1/> Le cariche si ricaricano riposando.
ITEM_MINORCONCENTRATIONTHROWFLASK1_DESC	Un estratto scarso di concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_MINORCONCENTRATIONTHROWFLASK2_DESC	Un estratto scarso di concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_MINORCONCENTRATIONTHROWFLASK3_DESC	Un estratto scarso di concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_MINORCONCENTRATIONTHROWFLASK4_DESC	Un estratto scarso di concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_MINORCONCENTRATIONTHROWFLASK5_DESC	Un estratto scarso di concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_MINORCONCENTRATIONTHROWFLASK_DESC	Un estratto scarso di concentrazione con una corda legata attorno. Utile per ripristinare la Concentrazione altrui in combattimento.
ITEM_MINORHEALTHTHROWFLASK1_DESC	Un estratto scarso di salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_MINORHEALTHTHROWFLASK2_DESC	Un estratto scarso di salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_MINORHEALTHTHROWFLASK3_DESC	Un estratto scarso di salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_MINORHEALTHTHROWFLASK4_DESC	Un estratto scarso di salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_MINORHEALTHTHROWFLASK5_DESC	Un estratto scarso di salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_MINORHEALTHTHROWFLASK_DESC	Un estratto scarso di salute con una corda legata attorno. Utile per curare gli altri in combattimento.
ITEM_MOONCAT_DESC	Un compagno comune degli apprendisti maghi della Grande Accademia di Aldoria, noto per la sua magia rivitalizzante e la presenza rasserenante.
ITEM_MOONCAT_EFFECT	Resta vicino al giocatore ed emette pulsazioni regolari che ripristinano la Concentrazione nel tempo.
ITEM_NATURESCALMTONIC_DESC	Un tonico lenitivo e calmante preparato con Thaumablossom al chiaro di luna e Legno di Treant. Placa la mente, favorendo una concentrazione profonda e un recupero più rapido della Concentrazione.
ITEM_NATURESCALMTONIC_EFFECT	Ripristina il Nutrimento. Conferisce 10% Concentrazione massima e Rigenerazione della concentrazione per 30 minuti.
ITEM_NATURESWARDSTEAK_DESC	Una bistecca di bestia cotta con Legno di Treant e condita con Thaumablossom. Conferisce resistenza prolungata agli effetti del veleno.
ITEM_NATURESWARDSTEAK_EFFECT	Ripristina il Nutrimento. Conferisce 10% Salute massima, 25% Resistenza al decadimento e Resistenza al veleno per 30 minuti.
ITEM_OILFLASK1_DESC	Una fiasca di olio denso e infiammabile, usato per rivestire superfici, accendere trappole o alimentare fuochi alchemici.
ITEM_OILFLASK1_EFFECT	Lancia per creare una Pozza d'Olio.<x1/> Le cariche si ricaricano riposando.
ITEM_OILFLASK2_DESC	Una fiasca di olio denso e infiammabile, usato per rivestire superfici, accendere trappole o alimentare fuochi alchemici.
ITEM_OILFLASK2_EFFECT	Lancia per creare una Pozza d'Olio.<x1/> Le cariche si ricaricano riposando.
ITEM_OILFLASK3_DESC	Una fiasca di olio denso e infiammabile, usato per rivestire superfici, accendere trappole o alimentare fuochi alchemici.
ITEM_OILFLASK3_EFFECT	Lancia per creare una Pozza d'Olio.<x1/> Le cariche si ricaricano riposando.
ITEM_OILFLASK4_DESC	Una fiasca di olio denso e infiammabile, usato per rivestire superfici, accendere trappole o alimentare fuochi alchemici.
ITEM_OILFLASK4_EFFECT	Lancia per creare una Pozza d'Olio.<x1/> Le cariche si ricaricano riposando.
ITEM_OILFLASK5_DESC	Una fiasca di olio denso e infiammabile, usato per rivestire superfici, accendere trappole o alimentare fuochi alchemici.
ITEM_OILFLASK5_EFFECT	Lancia per creare una Pozza d'Olio.<x1/> Le cariche si ricaricano riposando.
ITEM_OILFLASK_DESC	Una fiasca di olio denso e infiammabile, usato per rivestire superfici, accendere trappole o alimentare fuochi alchemici.
ITEM_OILFLASK_EFFECT	Lancia per creare una Pozza d'Olio.<x1/> Le cariche si ricaricano riposando.
ITEM_OIL_DESC	Un liquido denso e scivoloso che prende fuoco facilmente e brucia a lungo.
